map,result,ally1,ally2,ally3,enemy1,enemy2,enemy3,timestamp
15000022,0,16000064,16000023,16000042,16000061,16000089,16000021,20260406T135240.000Z
15000022,1,16000064,16000023,16000042,16000061,16000089,16000021,20260406T135051.000Z
15000440,0,16000031,16000011,16000062,16000077,16000102,16000023,20260406T134619.000Z
15000440,0,16000031,16000011,16000062,16000077,16000102,16000023,20260406T134423.000Z
15000440,1,16000031,16000011,16000062,16000077,16000102,16000023,20260406T134227.000Z
15000083,1,16000021,16000023,16000090,16000043,16000012,16000003,20260406T133344.000Z
15000083,1,16000021,16000023,16000090,16000043,16000012,16000003,20260406T133125.000Z
15000548,1,16000061,16000099,16000003,16000047,16000042,16000079,20260406T132508.000Z
15000548,0,16000061,16000099,16000003,16000047,16000042,16000079,20260406T132240.000Z
15000548,1,16000061,16000099,16000003,16000047,16000042,16000079,20260406T132056.000Z
15000306,1,16000037,16000089,16000023,16000005,16000002,16000099,20260406T131547.000Z
15000306,1,16000037,16000089,16000023,16000005,16000002,16000099,20260406T131323.000Z
15000082,0,16000089,16000011,16000012,16000087,16000019,16000025,20260406T130459.000Z
15000082,0,16000089,16000011,16000012,16000087,16000019,16000025,20260406T130241.000Z
15000293,1,16000038,16000059,16000026,16000002,16000070,16000012,20260406T125749.000Z
15000293,1,16000038,16000059,16000026,16000002,16000070,16000012,20260406T125624.000Z
15000548,1,16000029,16000001,16000021,16000061,16000023,16000095,20260406T174717.000Z
15000548,0,16000029,16000001,16000021,16000061,16000023,16000095,20260406T174549.000Z
15000548,1,16000029,16000001,16000021,16000061,16000023,16000095,20260406T174438.000Z
15000010,1,16000059,16000004,16000023,16000063,16000099,16000086,20260406T173728.000Z
15000010,1,16000059,16000004,16000023,16000063,16000099,16000086,20260406T173522.000Z
15000005,0,16000021,16000083,16000099,16000042,16000036,16000079,20260406T172957.000Z
15000005,0,16000021,16000083,16000099,16000042,16000036,16000079,20260406T172751.000Z
15000306,0,16000096,16000012,16000098,16000083,16000014,16000085,20260406T164605.000Z
15000306,0,16000096,16000012,16000098,16000083,16000014,16000085,20260406T164427.000Z
15000306,1,16000096,16000012,16000098,16000083,16000014,16000085,20260406T164242.000Z
15000082,1,16000042,16000006,16000086,16000062,16000059,16000066,20260406T151052.000Z
15000082,1,16000042,16000006,16000086,16000062,16000059,16000066,20260406T150834.000Z
15000115,0,16000011,16000059,16000017,16000008,16000030,16000023,20260406T150142.000Z
15000115,0,16000011,16000059,16000017,16000008,16000030,16000023,20260406T145955.000Z
15000011,0,16000074,16000044,16000102,16000005,16000025,16000012,20260406T144305.000Z
15000011,0,16000074,16000044,16000102,16000005,16000025,16000012,20260406T144051.000Z
15000118,0,16000086,16000083,16000001,16000096,16000005,16000023,20260406T142459.000Z
15000118,0,16000086,16000083,16000001,16000096,16000005,16000023,20260406T142326.000Z
