map,result,ally1,ally2,ally3,enemy1,enemy2,enemy3,id,order_index
15000368,1,16000043,16000001,16000015,16000021,16000099,16000005,f11e6718a0aaacc989fa4308353e5973,85
15000005,1,16000023,16000079,16000036,16000004,16000022,16000021,88692876f65644d18a8d1759599be187,86
15000005,1,16000023,16000079,16000036,16000004,16000022,16000021,0bb13249d17f3b8b0de432f22cfcd209,87
15000292,0,16000028,16000103,16000009,16000083,16000005,16000077,c5a31bf7829e45223dbf5fb410170171,88
15000292,1,16000028,16000103,16000009,16000083,16000005,16000077,0b34f9da4d0968f1bc2ba10ced52e62a,89
15000292,0,16000028,16000103,16000009,16000083,16000005,16000077,e1914280d370cdb37f9abad522d9976b,90
15000292,0,16000041,16000022,16000043,16000070,16000077,16000026,e56aa7ac080302a7ca0ec30560f1826f,91
15000292,0,16000041,16000022,16000043,16000070,16000077,16000026,a86a6658e709a4f4a83d369599aadb64,92
15000115,1,16000037,16000012,16000040,16000070,16000004,16000021,56a57d6c1f153009d0a1eeed31c1a1d3,93
15000115,1,16000037,16000012,16000040,16000070,16000004,16000021,5de8e1365fb3e1420043dafa5e2408f1,94
15000293,1,16000075,16000089,16000007,16000072,16000043,16000049,0f8af6e1de3d3ba4bf6b789df3786d30,95
15000293,1,16000075,16000089,16000007,16000072,16000043,16000049,73d32cd56ae43d2d3d6f51adce60bf28,96
15000703,1,16000042,16000103,16000043,16000022,16000072,16000070,ba80088e7e7f4a725e55365aca2648c0,97
15000703,1,16000042,16000103,16000043,16000022,16000072,16000070,37bb1e1a696a3ba650d724dfa01f8a95,98
15000300,0,16000001,16000026,16000103,16000054,16000030,16000012,53b073a670f19c7f7774e08f8da3fedc,99
15000300,0,16000001,16000026,16000103,16000054,16000030,16000012,5a21d1781fbb79e560495bec8fb3b956,100
15000007,1,16000012,16000020,16000049,16000030,16000009,16000026,e37b32b3c3616b50b7e7cf42ad6d54b0,101
15000007,1,16000012,16000020,16000049,16000030,16000009,16000026,93e43b7417c392f6966c2cd6d08af1c8,102
15001021,0,16000063,16000012,16000019,16000103,16000026,16000018,8c11b6a9f01cce1a1197d7c45deca127,103
15001021,0,16000063,16000012,16000019,16000103,16000026,16000018,3389a53f35ee2d1a1fc116850aadc4cd,104
15000007,0,16000038,16000085,16000005,16000012,16000017,16000023,acfb30039c5e77f1d89a3a493f97c241,105
15000007,0,16000038,16000085,16000005,16000012,16000017,16000023,b97d17a743f76a027943efa9f0f45108,106
15000007,1,16000038,16000085,16000005,16000012,16000017,16000023,e6ed7d1e9a43e46a86c5c55c03ffd278,107
15000292,0,16000011,16000077,16000004,16000007,16000014,16000098,a944211cbd366371bc861297e0a1bd28,108
15000292,0,16000011,16000077,16000004,16000007,16000014,16000098,9a15ff2e823ca0c49cfba6943ffdfc40,109
15000292,1,16000030,16000070,16000059,16000050,16000022,16000013,9b037a4b81637b14d27e2459125bcf89,110
15000292,1,16000030,16000070,16000059,16000050,16000022,16000013,be4fea683c02a64c06aac29ab43c0a4a,111
15000440,0,16000081,16000066,16000102,16000065,16000003,16000070,7a716c486b9a7a355706870315a0d3b8,112
15000440,0,16000081,16000066,16000102,16000065,16000003,16000070,fbdbc5726af08540e6a3f76bb4feb2c4,113
15000072,0,16000039,16000003,16000005,16000074,16000012,16000025,e6647b4c850cacd25172b3196924d109,114
15000072,0,16000039,16000003,16000005,16000074,16000012,16000025,3b7867f980b6f77057a7e529679c918f,115
15000143,0,16000030,16000012,16000086,16000103,16000005,16000083,7bb0e6b94cdd0c9346e7218b164cc341,116
15000143,0,16000030,16000012,16000086,16000103,16000005,16000083,1ad5a037a754113c968ebda10cca53c6,117
15000022,1,16000072,16000061,16000029,16000003,16000059,16000050,3f681240431305e4fe6110dee113e5f1,118
15000022,1,16000072,16000061,16000029,16000003,16000059,16000050,24d1c95c232d9283f2a3b2fd5c59552f,119
15000019,1,16000026,16000075,16000039,16000048,16000003,16000005,1f816caf8a20511df3822e4e3ae210a5,120
15000019,1,16000026,16000075,16000039,16000048,16000003,16000005,aaae34f135b668bbcf312b3d0082ecc9,121
15000005,0,16000015,16000047,16000001,16000065,16000061,16000099,bf40668657bd232b9fc2f5b61f5383af,122
15000005,0,16000015,16000047,16000001,16000065,16000061,16000099,3700d8f9aaf7e7341d49f88ff034e8a4,123
15000005,1,16000015,16000047,16000001,16000065,16000061,16000099,e6413976be474b061c790b3da4044b08,124
15000368,0,16000042,16000023,16000075,16000036,16000003,16000012,c01de914d8018202014ddcf182ee6c47,125
15000368,0,16000042,16000023,16000075,16000036,16000003,16000012,6411197f2ac881c6f39bac2e64a394b1,126
15000368,1,16000042,16000023,16000075,16000036,16000003,16000012,9b1d0c1b4790039b207205e44d511dc8,127
15000022,0,16000005,16000061,16000029,16000015,16000043,16000003,d9e883e35cc4a031401db47f5dabc359,128
15000022,0,16000005,16000061,16000029,16000015,16000043,16000003,222c02e915e8a931275e6ca81200a70f,129
15000022,1,16000005,16000061,16000029,16000015,16000043,16000003,bd8a3001c9e879a5ef4e7aa0d3be7dcf,130
15000132,0,16000045,16000012,16000063,16000059,16000005,16000001,482872ec010dbe82e80c0fdabd11eecd,131
15000132,0,16000045,16000012,16000063,16000059,16000005,16000001,6eacf0a7350c1b0d504fd09f8bd017c8,132
15000053,0,16000059,16000070,16000082,16000008,16000073,16000002,6191248455f9109cba9f96f321d05b28,133
15000053,0,16000059,16000070,16000082,16000008,16000073,16000002,0a7c48e987efbe86096e317165fd2eaf,134
15000143,0,16000002,16000102,16000045,16000103,16000086,16000023,081bec6746f28aa722f1f42c697ebdf1,135
15000143,0,16000002,16000102,16000045,16000103,16000086,16000023,fe172e066936a945053036d548ceaed1,136
15000118,0,16000014,16000008,16000063,16000030,16000023,16000005,e6478cca031cdf8560cfb8e168214e41,137
15000118,0,16000014,16000008,16000063,16000030,16000023,16000005,5d6dc2bab1442003b37ba328f2d34381,138
15000050,1,16000004,16000069,16000045,16000091,16000086,16000026,9714b54f5b150831987504a6305c5ecf,139
